hsa-mir-34a-5p	DLL1
hsa-mir-34a-5p	VEGFA
hsa-mir-34a-5p	E2F3
hsa-mir-34a-5p	MET
hsa-mir-34a-5p	STX1A
hsa-mir-34a-5p	ACSL4
hsa-mir-34a-5p	CCNE2
hsa-mir-34a-5p	IFNB1
hsa-mir-34a-5p	CDKN2A
hsa-mir-34a-5p	ACSL1
hsa-mir-34a-5p	MAGEA6
hsa-mir-34a-5p	VAMP2
hsa-mir-34a-5p	CCND1
hsa-mir-34a-5p	MAGEA3
hsa-mir-34a-5p	SYT1
